,,,,,,,,Points,Points,Points,,Top Players,Top Players,Top Players,Top Players,Off Rank,Off Rank,Def Rank,Def Rank,Overall Rank,Overall Rank,Overall Rank,Overall Rank,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System
Year▼,Lg,Tm,W,L,T,Div. Finish,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts,Yds,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
1946,NFL,Chicago Cardinals,6,5,0,3rd of 5,,260,198,62,Conzelman,,Christman,Harder,Dewell,3,3,6,6,6,3,3,10,5.6,-0.6,5.1,4.5,0.6
1945,NFL,Chicago Cardinals,1,9,0,5th of 5,,98,228,-130,Handler,,Christman,Seno,Rucinski,9,8,9,7,9,9,7,10,-13.0,4.8,-8.2,-7.0,-1.2
1944,NFL,Chi/Pit Cards/Steelers,0,10,0,5th of 5,,108,328,-220,KieslingHandler,,Grigas,Grigas,Bova,8,8,10,10,10,10,9,11,-22.0,4.1,-17.9,-5.5,-12.3
1943,NFL,Chicago Cardinals,0,10,0,4th of 4,,95,238,-143,Handler,,Cahill,Grigas,Rucinski,7,7,8,6,8,7,7,10,-14.3,3.9,-10.4,-9.1,-1.4
1942,NFL,Chicago Cardinals,3,8,0,4th of 5,,98,209,-111,Conzelman,,Schwenk,Goldberg,Martin,9,6,7,7,8,9,6,10,-10.1,2.5,-7.5,-7.0,-0.5
1941,NFL,Chicago Cardinals,3,7,1,4th of 5,,127,197,-70,Conzelman,,Mallouf,Goldberg,Dewell,6,4,7,6,5,6,5,10,-6.4,4.8,-1.6,-3.3,1.8
1940,NFL,Chicago Cardinals,2,7,2,5th of 5,,139,222,-83,Conzelman,,McCullough,Goldberg,Tinsley,6,8,10,6,7,8,8,10,-7.5,3.3,-4.3,-1.3,-2.9
1939,NFL,Chicago Cardinals,1,10,0,5th of 5,,84,254,-170,Nevers,,Robbins,Goldberg,Smith,10,10,10,8,9,10,10,10,-15.5,5.8,-9.6,-5.5,-4.2
1938,NFL,Chicago Cardinals,2,9,0,5th of 5,,111,168,-57,Creighton,,Robbins,Robbins,Tinsley,9,6,8,5,8,8,6,10,-5.2,2.4,-2.8,-2.8,0.0
1937,NFL,Chicago Cardinals,5,5,1,4th of 5,,135,165,-30,Creighton,,Coffee,Grosvenor,Tinsley,5,6,7,7,3,7,7,10,-2.7,2.6,-0.2,0.1,-0.2
1936,NFL,Chicago Cardinals,3,8,1,4th of 4,,74,143,-69,Creighton,,Vaughan,Grosvenor,Smith,8,5,5,4,2,6,5,9,-5.8,4.3,-1.4,-4.9,3.5
1935,NFL,Chicago Cardinals,6,4,2,3rd of 4,,99,97,2,Creighton,,Sarboe,Russell,Smith,6,6,3,3,6,5,6,9,0.2,2.5,2.7,-2.0,4.7
1934,NFL,Chicago Cardinals,5,6,0,4th of 6,,80,84,-4,Schissler,,Sarboe,Russell,Smith,8,10,3,1,5,7,6,11,-0.4,2.7,2.3,-3.6,5.9
1933,NFL,Chicago Cardinals,1,9,1,5th of 5,,52,101,-49,Schissler,,Lillard,Lillard,Tipton,9,9,7,6,8,7,8,10,-4.5,-0.3,-4.7,-4.0,-0.8
1932,NFL,Chicago Cardinals,2,6,2,6th of 8,,72,114,-42,Chevigny,,Holmer,Holmer,Kassel,5,4,7,1,1,6,4,8,-4.2,1.1,-3.1,0.2,-3.3
1931,NFL,Chicago Cardinals,5,4,0,4th of 10,,120,128,-8,NeversAndrews,,,,,2,1,10,1,1,5,1,10,-0.9,3.9,3.0,5.4,-2.3
1930,NFL,Chicago Cardinals,5,6,2,7th of 11,,128,132,-4,Nevers,,,,,6,1,6,1,1,6,1,11,-0.3,1.4,1.1,-0.6,1.7
